Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
1,16,41,34,23,1.3,0
2,16,72,73,82,7.5,1
3,18,63,65,73,8.9,1
4,15,89,81,87,9.3,1
5,20,38,30,38,2.1,0
6,15,43,41,55,9.0,0
7,20,63,67,72,7.4,1
8,16,82,74,92,10.4,1
9,17,63,68,53,5.1,1
10,17,73,62,82,6.9,1
11,18,70,82,84,8.5,1
12,20,84,65,72,5.4,1
13,18,64,47,55,8.2,1
14,18,56,50,64,9.2,1
15,20,58,61,60,3.4,1
16,16,61,45,47,2.7,1
17,22,80,96,84,6.8,1
18,19,78,73,73,9.5,1
19,19,79,98,96,11.7,1
20,18,34,46,34,2.7,0
21,15,63,47,80,7.6,1
22,19,59,60,54,3.6,1
23,16,83,73,67,11.8,1
24,17,50,59,66,3.9,1
25,18,69,49,74,8.8,1
26,22,50,38,39,2.3,0
27,18,31,36,35,1.1,0
28,20,51,41,44,1.8,0
29,22,39,48,44,3.7,0
30,20,45,32,22,5.7,0
31,16,21,40,39,1.7,0
32,22,55,49,44,2.5,0
33,16,56,74,53,1.6,1
34,18,37,34,38,2.8,0
35,21,28,20,20,1.0,0
36,22,56,27,31,2.7,0
37,20,23,30,24,1.6,0
38,16,86,90,79,10.4,1
39,18,71,65,62,7.4,1
40,20,100,91,99,11.3,1
41,19,73,92,81,6.0,1
42,16,46,55,34,1.8,0
43,18,78,62,55,5.1,1
44,15,43,62,59,8.3,1
45,19,57,49,62,2.3,1
46,20,36,23,42,3.2,0
47,15,35,46,33,2.0,0
48,19,33,25,27,2.8,0
49,17,62,74,75,7.0,1
50,19,70,86,81,5.0,1
51,18,71,78,48,8.3,1
52,17,91,88,81,11.2,1
53,21,28,48,29,1.3,0
54,18,46,61,39,3.9,0
55,18,50,61,39,3.2,1
56,18,46,53,23,1.3,0
57,19,38,43,33,4.9,0
58,15,46,53,46,2.3,0
59,16,69,36,67,7.6,1
60,16,46,49,48,5.2,0
61,18,73,65,74,5.0,1
62,16,78,65,76,8.9,1
63,19,81,61,79,7.1,1
64,17,74,71,65,7.8,1
65,21,66,59,75,9.6,1
66,22,91,90,88,9.7,1
67,20,45,41,60,2.0,0
68,17,45,38,34,1.3,0
69,21,63,63,74,10.7,1
70,17,88,88,83,8.2,1
71,21,40,42,54,3.4,0
72,16,53,75,63,6.0,1
73,22,56,71,57,7.7,1
74,17,69,68,79,9.2,1
75,22,72,67,75,7.9,1
76,20,91,85,92,10.8,1
77,18,33,23,30,1.7,0
78,21,40,75,61,5.3,1
79,21,66,55,79,6.2,1
80,21,48,70,57,6.9,1
81,19,69,64,60,5.8,1
82,17,94,88,100,10.2,1
83,15,28,23,27,1.9,0
84,20,50,28,47,3.3,0
85,21,51,20,42,3.8,0
86,20,78,72,70,3.5,1
87,18,52,60,60,3.2,1
88,18,67,43,47,6.1,1
89,16,88,66,73,9.6,1
90,21,53,52,45,5.4,1
91,16,80,73,55,8.7,1
92,15,48,38,45,4.8,0
93,21,100,90,88,10.0,1
94,17,35,54,70,5.8,1
95,22,57,64,72,6.1,1
96,16,38,23,29,4.1,0
97,20,36,43,54,1.3,0
98,20,24,24,30,4.1,0
99,18,28,37,25,1.9,0
100,22,68,62,71,5.9,1
101,20,49,50,43,6.2,0
102,22,54,51,53,4.0,1
103,17,38,33,37,3.1,0
104,19,87,88,98,11.8,1
105,17,60,61,58,4.0,1
106,22,49,41,49,2.1,0
107,15,49,60,55,3.8,1
